Sample	
Comments	
Filename	C:\DOCUME~1\ALUNOS\DESKTOP\F740B_1S2022_GRUPO1\amostra7_20-110_002_25_19-04-22_22-26.raw
Goniometer	Miniflex goniometer
Attachment	Standard sample holder
Monochromater	None
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	30kV/15mA
Divergence slit	Unknown
Scattering slit	4.2deg.
Receiving slit	0.3mm
Kb filter	
Start	20
Stop	110
Step	0.02
20	6
20.02	8
20.04	7
20.06	8
20.08	8
20.1	10
20.12	5
20.14	10
20.16	11
20.18	5
20.2	11
20.22	7
20.24	12
20.26	14
20.28	11
20.3	9
20.32	10
20.34	9
20.36	7
20.38	7
20.4	12
20.42	10
20.44	15
20.46	12
20.48	2
20.5	8
20.52	6
20.54	9
20.56	11
20.58	10
20.6	13
20.62	14
20.64	16
20.66	13
20.68	9
20.7	11
20.72	9
20.74	12
20.76	5
20.78	12
20.8	8
20.82	9
20.84	12
20.86	14
20.88	6
20.9	7
20.92	11
20.94	6
20.96	12
20.98	16
21	8
21.02	9
21.04	8
21.06	8
21.08	11
21.1	6
21.12	7
21.14	7
21.16	4
21.18	9
21.2	10
21.22	8
21.24	8
21.26	11
21.28	11
21.3	1
21.32	10
21.34	10
21.36	12
21.38	9
21.4	4
21.42	15
21.44	15
21.46	12
21.48	10
21.5	16
21.52	6
21.54	8
21.56	18
21.58	12
21.6	9
21.62	5
21.64	7
21.66	9
21.68	9
21.7	8
21.72	10
21.74	9
21.76	8
21.78	8
21.8	6
21.82	9
21.84	13
21.86	9
21.88	8
21.9	14
21.92	5
21.94	9
21.96	12
21.98	8
22	9
22.02	7
22.04	5
22.06	14
22.08	5
22.1	9
22.12	16
22.14	11
22.16	16
22.18	10
22.2	13
22.22	15
22.24	10
22.26	7
22.28	9
22.3	11
22.32	5
22.34	8
22.36	11
22.38	4
22.4	7
22.42	13
22.44	8
22.46	9
22.48	14
22.5	7
22.52	8
22.54	10
22.56	12
22.58	9
22.6	9
22.62	9
22.64	5
22.66	8
22.68	14
22.7	9
22.72	9
22.74	13
22.76	7
22.78	11
22.8	14
22.82	6
22.84	9
22.86	4
22.88	10
22.9	6
22.92	12
22.94	10
22.96	9
22.98	9
23	3
23.02	12
23.04	8
23.06	14
23.08	4
23.1	8
23.12	11
23.14	10
23.16	8
23.18	12
23.2	13
23.22	8
23.24	11
23.26	22
23.28	11
23.3	5
23.32	10
23.34	8
23.36	11
23.38	16
23.4	13
23.42	14
23.44	5
23.46	9
23.48	9
23.5	13
23.52	14
23.54	6
23.56	11
23.58	10
23.6	8
23.62	9
23.64	9
23.66	10
23.68	14
23.7	7
23.72	12
23.74	8
23.76	11
23.78	7
23.8	13
23.82	9
23.84	9
23.86	12
23.88	8
23.9	12
23.92	9
23.94	8
23.96	9
23.98	11
24	9
24.02	14
24.04	12
24.06	12
24.08	12
24.1	16
24.12	10
24.14	9
24.16	9
24.18	6
