Sample	
Comments	
Filename	C:\DOCUME~1\Alunos\Desktop\F740B_1S2022_Grupo1\amostra_c_20-120_002_17_03-05-22_20-18.raw
Goniometer	Miniflex goniometer
Attachment	Standard sample holder
Monochromater	None
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	30kV/15mA
Divergence slit	Unknown
Scattering slit	4.2deg.
Receiving slit	0.3mm
Kb filter	
Start	20
Stop	120
Step	0.02
20	76
20.02	72
20.04	79
20.06	84
20.08	77
20.1	93
20.12	80
20.14	68
20.16	69
20.18	66
20.2	85
20.22	80
20.24	72
20.26	72
20.28	77
20.3	62
20.32	71
20.34	73
20.36	75
20.38	71
20.4	75
20.42	66
20.44	67
20.46	81
20.48	64
20.5	74
20.52	70
20.54	69
20.56	70
20.58	67
20.6	80
20.62	65
20.64	84
20.66	75
20.68	63
20.7	74
20.72	69
20.74	64
20.76	67
20.78	61
20.8	69
20.82	54
20.84	60
20.86	64
20.88	56
20.9	78
20.92	54
20.94	58
20.96	75
20.98	56
21	65
21.02	69
21.04	60
21.06	56
21.08	52
21.1	71
21.12	66
21.14	55
21.16	64
21.18	54
21.2	71
21.22	62
21.24	54
21.26	59
21.28	64
21.3	51
21.32	57
21.34	60
21.36	58
21.38	68
21.4	50
21.42	53
21.44	61
21.46	59
21.48	69
21.5	55
21.52	68
21.54	59
21.56	56
21.58	79
21.6	63
21.62	72
21.64	69
21.66	65
21.68	83
21.7	55
21.72	59
21.74	55
21.76	66
21.78	60
21.8	66
21.82	63
21.84	66
21.86	65
21.88	66
21.9	47
21.92	62
21.94	64
21.96	55
21.98	55
22	57
22.02	55
22.04	71
22.06	68
22.08	54
22.1	65
22.12	61
22.14	64
22.16	62
22.18	73
22.2	70
22.22	73
22.24	55
22.26	67
22.28	65
22.3	76
22.32	60
22.34	68
22.36	62
22.38	56
22.4	45
22.42	69
22.44	59
22.46	52
22.48	61
22.5	48
22.52	60
22.54	53
22.56	52
22.58	48
22.6	60
22.62	46
22.64	49
22.66	36
22.68	55
22.7	44
22.72	57
22.74	45
22.76	54
22.78	58
22.8	51
22.82	52
22.84	47
22.86	38
22.88	58
22.9	53
22.92	59
22.94	48
22.96	70
22.98	57
23	55
23.02	58
23.04	41
23.06	55
23.08	43
23.1	59
23.12	55
23.14	52
23.16	51
23.18	51
23.2	53
23.22	46
23.24	59
23.26	52
23.28	38
23.3	50
23.32	47
23.34	47
23.36	47
23.38	56
23.4	47
23.42	49
23.44	56
23.46	50
23.48	57
23.5	53
23.52	60
23.54	56
23.56	52
23.58	49
23.6	48
23.62	61
23.64	56
23.66	39
23.68	38
23.7	44
23.72	53
23.74	48
23.76	51
23.78	47
23.8	60
23.82	57
23.84	53
23.86	71
23.88	74
23.9	69
23.92	87
23.94	92
23.96	110
23.98	118
24	114
24.02	113
24.04	116
24.06	152
24.08	144
24.1	163
24.12	187
24.14	198
24.16	206
24.18	236
24.2	216
24.22	259
24.24	225
24.26	260
24.28	270
24.3	298
24.32	272
24.34	286
24.36	272
24.38	238
24.4	183
24.42	142
24.44	103
24.46	92
24.48	77
24.5	67
24.52	69
24.54	64
24.56	56
24.58	65
24.6	63
24.62	44
24.64	66
24.66	47
24.68	72
24.7	79
24.72	52
24.74	62
24.76	70
24.78	51
24.8	54
24.82	59
24.84	61
24.86	69
24.88	57
24.9	70
24.92	64
24.94	67
24.96	63
24.98	39
25	52
25.02	65
25.04	63
25.06	73
25.08	55
25.1	60
25.12	63
25.14	67
25.16	64
25.18	52
25.2	77
25.22	68
25.24	69
25.26	62
25.28	61
25.3	70
25.32	62
25.34	58
25.36	66
25.38	75
25.4	75
25.42	73
25.44	86
25.46	78
25.48	69
25.5	77
25.52	75
25.54	85
25.56	84
25.58	70
25.6	75
25.62	93
25.64	100
25.66	107
25.68	118
25.7	121
25.72	144
25.74	155
25.76	175
25.78	185
25.8	182
25.82	197
25.84	241
25.86	222
25.88	255
25.9	283
25.92	291
25.94	345
25.96	392
25.98	399
26	478
26.02	489
26.04	539
26.06	535
26.08	578
26.1	589
26.12	601
26.14	604
26.16	662
26.18	614
26.2	617
26.22	659
26.24	661
26.26	715
26.28	758
26.3	828
26.32	898
26.34	971
26.36	1078
26.38	1253
26.4	1598
26.42	2536
26.44	4774
26.46	8947
26.48	14823
26.5	23844
26.52	35978
26.54	46556
26.56	54556
26.58	59471
26.6	60906
26.62	58646
26.64	56443
26.66	53599
26.68	51435
26.7	50531
26.72	49587
26.74	48630
26.76	47640
26.78	46240
26.8	45304
26.82	44388
26.84	43362
26.86	42447
26.88	40863
26.9	39992
26.92	39531
26.94	39725
26.96	40280
26.98	41304
27	44292
27.02	48411
27.04	52090
27.06	58011
27.08	55980
27.1	30637
27.12	14783
27.14	8243
27.16	4852
27.18	3248
27.2	2360
27.22	1901
27.24	1546
27.26	1350
27.28	1230
27.3	1184
27.32	1045
27.34	1008
27.36	931
27.38	962
27.4	837
27.42	818
27.44	855
27.46	826
27.48	752
27.5	762
27.52	697
27.54	747
27.56	757
27.58	719
27.6	665
27.62	706
27.64	705
27.66	631
27.68	662
27.7	662
27.72	652
27.74	635
27.76	612
27.78	694
27.8	630
27.82	643
27.84	623
27.86	603
27.88	609
27.9	583
27.92	597
27.94	557
27.96	542
27.98	582
28	572
28.02	560
28.04	597
28.06	557
28.08	580
28.1	524
28.12	540
28.14	566
28.16	576
28.18	551
28.2	492
28.22	557
28.24	545
28.26	520
28.28	549
28.3	529
28.32	547
28.34	522
28.36	532
28.38	534
28.4	533
28.42	496
28.44	532
28.46	480
28.48	529
28.5	511
28.52	499
28.54	517
28.56	496
28.58	465
28.6	493
28.62	497
28.64	507
28.66	523
28.68	513
28.7	472
28.72	456
28.74	517
28.76	468
28.78	473
28.8	499
28.82	517
28.84	468
28.86	513
28.88	500
28.9	510
28.92	510
28.94	530
28.96	559
28.98	485
29	509
29.02	492
29.04	532
29.06	495
29.08	486
29.1	505
29.12	498
29.14	486
29.16	512
29.18	498
29.2	485
29.22	533
29.24	495
29.26	524
29.28	485
29.3	530
29.32	515
29.34	523
29.36	492
29.38	515
29.4	529
29.42	502
29.44	511
29.46	488
29.48	441
29.5	473
29.52	498
29.54	490
29.56	495
29.58	462
29.6	496
29.62	452
29.64	466
29.66	428
29.68	458
29.7	434
29.72	436
29.74	444
29.76	414
29.78	448
29.8	413
29.82	454
29.84	462
29.86	441
29.88	454
29.9	414
29.92	439
29.94	479
29.96	410
29.98	428
30	484
30.02	427
30.04	436
30.06	452
30.08	443
30.1	472
30.12	445
30.14	473
30.16	457
30.18	455
30.2	453
30.22	455
30.24	459
30.26	469
30.28	450
30.3	436
30.32	470
30.34	424
30.36	440
30.38	470
30.4	452
30.42	436
30.44	439
30.46	452
30.48	457
30.5	481
30.52	473
30.54	443
30.56	460
30.58	488
30.6	477
30.62	483
30.64	485
30.66	478
30.68	475
30.7	470
30.72	457
30.74	453
30.76	500
30.78	467
30.8	470
30.82	475
30.84	460
30.86	481
30.88	454
30.9	458
30.92	427
30.94	440
30.96	478
30.98	460
31	458
31.02	432
31.04	460
31.06	434
31.08	458
31.1	431
31.12	414
31.14	421
31.16	412
31.18	400
31.2	453
31.22	457
31.24	432
31.26	409
31.28	436
31.3	467
31.32	472
31.34	463
31.36	418
31.38	458
31.4	470
31.42	417
31.44	430
31.46	450
31.48	432
31.5	436
31.52	461
31.54	435
31.56	465
31.58	435
31.6	383
31.62	435
31.64	400
31.66	425
31.68	402
31.7	414
31.72	432
31.74	397
31.76	420
31.78	439
31.8	426
31.82	459
31.84	435
31.86	420
31.88	420
31.9	400
31.92	405
31.94	399
31.96	448
31.98	424
32	356
32.02	431
32.04	414
32.06	401
32.08	412
32.1	409
32.12	416
32.14	375
32.16	430
32.18	388
32.2	408
32.22	409
32.24	399
32.26	447
32.28	391
32.3	381
32.32	415
32.34	396
32.36	396
32.38	372
32.4	398
32.42	412
32.44	402
32.46	396
32.48	379
32.5	416
32.52	395
32.54	383
32.56	406
32.58	409
32.6	415
32.62	387
32.64	387
32.66	401
32.68	366
32.7	430
32.72	400
32.74	398
32.76	372
32.78	397
32.8	379
32.82	419
32.84	387
32.86	368
32.88	400
32.9	362
32.92	388
32.94	423
32.96	418
32.98	422
33	391
33.02	391
33.04	344
33.06	398
33.08	389
