Sample	
Comments	
Filename	C:\DOCUME~1\Alunos\Desktop\F740B_1S2022_Grupo1\amostra_vidro2_00-30_002_17_03-05-22_22-29.raw
Goniometer	Miniflex goniometer
Attachment	Standard sample holder
Monochromater	None
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	30kV/15mA
Divergence slit	Unknown
Scattering slit	4.2deg.
Receiving slit	0.3mm
Kb filter	
Start	0
Stop	30
Step	0.02
0	657
0.02	214
0.04	148
0.06	126
0.08	91
0.1	57
0.12	67
0.14	52
0.16	36
0.18	28
0.2	36
0.22	31
0.24	32
0.26	25
0.28	23
0.3	18
0.32	30
0.34	16
0.36	14
0.38	14
0.4	12
0.42	9
0.44	19
0.46	10
0.48	14
0.5	10
0.52	17
0.54	12
0.56	10
0.58	12
0.6	10
0.62	17
0.64	19
0.66	12
0.68	16
0.7	13
0.72	16
0.74	11
0.76	11
0.78	11
0.8	14
0.82	9
0.84	11
0.86	14
0.88	9
0.9	14
0.92	10
0.94	15
0.96	16
0.98	23
1	16
1.02	15
1.04	21
1.06	17
1.08	14
1.1	15
1.12	13
1.14	16
1.16	8
1.18	14
1.2	16
1.22	13
1.24	12
1.26	10
1.28	13
1.3	12
1.32	15
1.34	13
1.36	9
1.38	18
1.4	8
1.42	15
1.44	19
1.46	19
1.48	19
1.5	24
1.52	12
1.54	8
1.56	20
1.58	11
1.6	9
1.62	18
1.64	11
1.66	11
1.68	13
1.7	15
1.72	14
1.74	12
1.76	19
1.78	21
1.8	16
1.82	9
1.84	16
1.86	17
1.88	11
1.9	21
1.92	14
1.94	11
1.96	14
1.98	9
2	15
2.02	6
2.04	11
2.06	13
2.08	15
2.1	17
2.12	12
2.14	13
2.16	10
2.18	16
2.2	17
2.22	12
2.24	8
2.26	8
2.28	16
2.3	12
2.32	11
2.34	14
2.36	17
2.38	12
2.4	8
2.42	10
2.44	7
2.46	12
2.48	13
2.5	17
2.52	11
2.54	5
2.56	10
2.58	17
2.6	12
2.62	9
2.64	15
2.66	21
2.68	11
2.7	10
2.72	11
2.74	15
2.76	7
2.78	14
2.8	10
2.82	10
2.84	11
2.86	8
2.88	18
2.9	10
2.92	10
2.94	12
2.96	8
2.98	8
3	4
3.02	13
3.04	6
3.06	10
3.08	10
3.1	14
3.12	10
3.14	10
3.16	13
3.18	11
3.2	19
3.22	17
3.24	16
3.26	7
3.28	10
3.3	10
3.32	16
3.34	8
3.36	12
3.38	10
3.4	9
3.42	9
3.44	5
3.46	18
3.48	14
3.5	10
3.52	8
3.54	10
3.56	6
3.58	14
3.6	6
3.62	17
3.64	15
3.66	13
3.68	12
3.7	6
3.72	12
3.74	13
3.76	4
3.78	10
3.8	11
3.82	7
3.84	14
3.86	7
3.88	10
3.9	7
3.92	13
3.94	9
3.96	11
3.98	9
4	17
4.02	8
4.04	11
4.06	8
4.08	9
4.1	13
4.12	13
4.14	12
4.16	13
4.18	14
4.2	11
4.22	15
4.24	10
4.26	9
4.28	11
4.3	5
4.32	9
4.34	13
4.36	16
4.38	11
4.4	6
4.42	15
4.44	11
4.46	8
4.48	8
4.5	10
4.52	11
4.54	11
4.56	13
4.58	10
4.6	12
4.62	8
4.64	15
4.66	7
4.68	12
4.7	8
4.72	9
4.74	10
4.76	14
4.78	8
4.8	10
4.82	7
4.84	15
4.86	7
4.88	15
4.9	12
4.92	9
4.94	12
4.96	14
4.98	8
5	15
5.02	9
5.04	8
5.06	6
5.08	1
5.1	9
5.12	5
5.14	1
5.16	0
5.18	1
5.2	5
5.22	5
5.24	5
5.26	3
5.28	6
5.3	5
5.32	4
5.34	2
5.36	4
5.38	5
5.4	4
5.42	5
5.44	6
5.46	5
5.48	7
5.5	5
5.52	6
5.54	3
5.56	4
5.58	4
5.6	4
5.62	3
5.64	3
5.66	7
5.68	2
5.7	3
5.72	6
5.74	4
5.76	2
5.78	6
5.8	4
5.82	4
5.84	4
5.86	4
5.88	4
5.9	5
5.92	4
5.94	4
5.96	7
5.98	5
6	3
6.02	4
6.04	4
6.06	3
6.08	6
6.1	3
6.12	7
6.14	4
6.16	7
6.18	0
