Sample	
Comments	
Filename	C:\DOCUME~1\Alunos\Desktop\F740B_1S2022_Grupo1\amostra_vidro_20-80_002_17_03-05-22_21-00.raw
Goniometer	Miniflex goniometer
Attachment	Standard sample holder
Monochromater	None
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	30kV/15mA
Divergence slit	Unknown
Scattering slit	4.2deg.
Receiving slit	0.3mm
Kb filter	
Start	20
Stop	120
Step	0.02
20	14
20.02	13
20.04	18
20.06	14
20.08	12
20.1	14
20.12	15
20.14	12
20.16	25
20.18	24
20.2	10
20.22	16
20.24	15
20.26	22
20.28	17
20.3	8
20.32	13
20.34	16
20.36	19
20.38	14
20.4	16
20.42	13
20.44	18
20.46	12
20.48	8
20.5	19
20.52	16
20.54	17
20.56	20
20.58	27
20.6	10
20.62	14
20.64	15
20.66	13
20.68	15
20.7	13
20.72	15
20.74	18
20.76	19
20.78	27
20.8	15
20.82	19
20.84	10
20.86	18
20.88	13
20.9	22
20.92	18
20.94	11
20.96	17
20.98	15
21	19
21.02	18
21.04	8
21.06	22
21.08	15
21.1	17
21.12	18
21.14	15
21.16	20
21.18	15
21.2	26
21.22	20
21.24	15
21.26	23
21.28	14
21.3	16
21.32	26
21.34	23
21.36	9
21.38	15
21.4	16
21.42	16
21.44	9
21.46	18
21.48	24
21.5	12
21.52	19
21.54	19
21.56	17
21.58	18
21.6	11
21.62	20
21.64	17
21.66	19
21.68	15
21.7	13
21.72	19
21.74	18
21.76	11
21.78	16
21.8	19
21.82	17
21.84	19
21.86	28
21.88	20
21.9	24
21.92	26
21.94	20
21.96	25
21.98	14
22	17
22.02	23
22.04	20
22.06	14
22.08	22
22.1	25
22.12	17
22.14	24
22.16	24
22.18	15
22.2	15
22.22	19
22.24	14
22.26	24
22.28	16
22.3	14
22.32	13
22.34	20
22.36	23
22.38	12
22.4	21
22.42	21
22.44	13
22.46	17
22.48	22
22.5	12
22.52	16
22.54	20
22.56	21
22.58	17
22.6	19
22.62	29
22.64	19
22.66	13
22.68	26
22.7	17
22.72	21
22.74	17
22.76	25
22.78	23
22.8	24
22.82	17
22.84	16
22.86	25
22.88	23
22.9	27
22.92	17
22.94	16
22.96	20
22.98	28
23	15
23.02	17
23.04	21
23.06	24
23.08	10
23.1	11
23.12	19
23.14	23
23.16	20
23.18	12
23.2	26
23.22	16
23.24	19
23.26	19
23.28	21
23.3	20
23.32	15
23.34	14
23.36	21
23.38	21
23.4	16
23.42	11
23.44	20
23.46	17
23.48	11
23.5	16
23.52	17
23.54	16
23.56	24
23.58	20
23.6	14
23.62	14
23.64	18
23.66	25
23.68	20
23.7	18
23.72	15
23.74	12
23.76	21
23.78	23
23.8	24
23.82	25
23.84	18
23.86	14
23.88	14
23.9	22
23.92	22
23.94	19
23.96	15
23.98	17
24	21
24.02	14
24.04	19
24.06	13
24.08	15
24.1	9
24.12	20
24.14	14
24.16	15
24.18	16
24.2	22
24.22	14
24.24	23
24.26	20
24.28	21
24.3	17
24.32	16
24.34	21
24.36	16
24.38	20
24.4	22
24.42	22
24.44	17
24.46	24
24.48	16
24.5	21
24.52	22
24.54	18
24.56	22
24.58	17
24.6	11
24.62	26
24.64	20
24.66	9
24.68	13
24.7	22
24.72	24
24.74	18
24.76	23
24.78	19
24.8	13
24.82	16
24.84	23
24.86	20
24.88	18
24.9	20
24.92	18
24.94	25
24.96	18
24.98	15
25	18
25.02	12
25.04	14
25.06	24
25.08	27
25.1	12
25.12	22
25.14	23
25.16	18
25.18	18
25.2	20
25.22	21
25.24	17
25.26	17
25.28	23
25.3	28
25.32	11
25.34	25
25.36	15
25.38	24
25.4	13
25.42	20
25.44	17
25.46	19
25.48	27
25.5	20
25.52	13
25.54	18
25.56	26
25.58	18
25.6	20
25.62	15
25.64	18
25.66	15
25.68	19
25.7	11
25.72	22
25.74	12
25.76	22
25.78	11
25.8	12
25.82	18
25.84	18
25.86	19
25.88	19
25.9	22
25.92	19
25.94	18
25.96	21
25.98	19
26	19
26.02	25
26.04	30
26.06	14
26.08	13
26.1	15
26.12	15
26.14	11
26.16	21
26.18	16
26.2	15
26.22	12
26.24	19
26.26	11
26.28	16
26.3	6
26.32	20
26.34	14
26.36	23
26.38	22
26.4	14
26.42	15
26.44	20
26.46	18
26.48	15
26.5	18
26.52	14
26.54	15
26.56	9
26.58	22
26.6	17
26.62	19
26.64	9
26.66	14
26.68	12
26.7	23
26.72	19
26.74	25
26.76	14
26.78	14
26.8	15
26.82	21
26.84	21
26.86	20
26.88	17
26.9	16
26.92	18
26.94	18
26.96	19
26.98	10
27	12
27.02	24
27.04	16
27.06	14
27.08	23
27.1	19
27.12	14
27.14	17
27.16	16
27.18	23
27.2	20
27.22	23
27.24	16
27.26	9
27.28	16
27.3	13
27.32	17
27.34	14
27.36	14
27.38	14
27.4	18
27.42	12
27.44	17
27.46	14
27.48	9
27.5	13
27.52	15
27.54	11
27.56	10
27.58	14
27.6	6
27.62	11
27.64	17
27.66	8
27.68	9
27.7	11
27.72	23
27.74	9
27.76	11
27.78	19
27.8	14
27.82	12
27.84	15
27.86	20
27.88	15
27.9	10
27.92	19
27.94	11
27.96	19
27.98	20
28	17
28.02	18
28.04	10
28.06	15
28.08	15
28.1	18
28.12	17
28.14	21
28.16	18
28.18	17
28.2	12
28.22	9
28.24	24
28.26	14
28.28	20
28.3	11
28.32	28
28.34	13
28.36	17
28.38	16
28.4	13
28.42	11
28.44	7
28.46	11
28.48	20
28.5	14
28.52	14
28.54	12
28.56	14
28.58	13
28.6	14
28.62	10
28.64	10
28.66	22
28.68	18
28.7	16
